Type,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS,HSS12X3-1/2X3/8,F,36.41,10.00,0.00,0.00,12.00,11.00,0.00,0.00,0.00,3.50,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,0.00,31.50,0.00,156.00,34.70,26.00,3.94,21.30,14.00,12.20,1.46,0.00,0.00,0.00,64.70,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X3-1/2X5/16,F,30.78,8.46,0.00,0.00,12.00,11.10,0.00,0.00,0.00,3.50,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.04,0.00,38.10,0.00,134.00,29.60,22.40,3.98,18.60,12.10,10.60,1.48,0.00,0.00,0.00,56.00,0.00,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X3X5/16,F,29.72,8.17,0.00,0.00,12.00,11.10,0.00,0.00,0.00,3.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,0.00,38.10,0.00,124.00,27.90,20.70,3.90,13.10,10.00,8.73,1.27,0.00,0.00,0.00,41.30,0.00,18.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X3X1/4,F,24.12,6.63,0.00,0.00,12.00,11.30,0.00,0.00,0.00,3.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,0.00,48.50,0.00,103.00,22.90,17.20,3.94,11.10,8.28,7.38,1.29,0.00,0.00,0.00,34.50,0.00,15.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X3X3/16,F,18.35,5.02,0.00,0.00,12.00,11.50,0.00,0.00,0.00,3.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.30,0.00,66.10,0.00,79.60,17.50,13.30,3.98,8.72,6.40,5.81,1.32,0.00,0.00,0.00,26.80,0.00,11.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X2X5/16,F,27.59,7.59,0.00,0.00,12.00,11.10,0.00,0.00,0.00,2.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,0.00,38.10,0.00,104.00,24.50,17.40,3.71,5.10,6.05,5.10,0.82,0.00,0.00,0.00,17.60,0.00,11.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X2X1/4,F,22.42,6.17,0.00,0.00,12.00,11.30,0.00,0.00,0.00,2.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.58,0.00,48.50,0.00,86.90,20.10,14.50,3.75,4.41,5.08,4.41,0.85,0.00,0.00,0.00,15.10,0.00,9.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X2X3/16,F,17.08,4.67,0.00,0.00,12.00,11.50,0.00,0.00,0.00,2.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.51,0.00,66.10,0.00,67.40,15.50,11.20,3.80,3.55,3.97,3.55,0.87,0.00,0.00,0.00,12.00,0.00,7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS10X10X5/8,F,76.33,21.00,0.00,0.00,10.00,8.26,0.00,0.00,0.00,10.00,8.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,0.00,14.20,0.00,304.00,73.20,60.80,3.80,304.00,73.20,60.80,3.80,0.00,0.00,0.00,498.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS10X10X1/2,F,62.46,17.20,0.00,0.00,10.00,8.60,0.00,0.00,0.00,10.00,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.50,0.00,18.50,0.00,256.00,60.70,51.20,3.86,256.00,60.70,51.20,3.86,0.00,0.00,0.00,412.00,0.00,84.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
